TimeV_S	AmplitudeV_S	TimeV_C	AmplitudeV_C	TimeV_R	AmplitudeV_R		
0	4.76127	0	0.358195	0	0.0789405
2.00E-06	4.93263	2.00E-06	0.526006	2.00E-06	0.159142
4.00E-06	4.89173	4.00E-06	0.85744	4.00E-06	0.235156
6.00E-06	4.85919	6.00E-06	1.30741	6.00E-06	0.307304
8.00E-06	4.83536	8.00E-06	1.82856	8.00E-06	0.373656
1.00E-05	4.79832	1.00E-05	2.42347	1.00E-05	0.410052
1.20E-05	-0.14427	1.20E-05	2.68759	1.20E-05	0.378165
1.40E-05	-0.120757	1.40E-05	3.12371	1.40E-05	0.344667
1.60E-05	-0.0788849	1.60E-05	3.44355	1.60E-05	0.302151
1.80E-05	-0.0463536	1.80E-05	3.63069	1.80E-05	0.25899
2.00E-05	-0.013178	2.00E-05	3.70832	2.00E-05	0.201014
2.20E-05	0.0196754	2.20E-05	3.66935	2.20E-05	0.142071
2.40E-05	0.0496301	2.40E-05	3.52118	2.40E-05	0.0776521
2.60E-05	0.0750754	2.60E-05	3.26286	2.60E-05	0.018065
2.80E-05	0.0998765	2.80E-05	2.9224	2.80E-05	-0.0389454
3.00E-05	0.11727	3.00E-05	2.51366	3.00E-05	-0.0901582
3.20E-05	0.134985	3.20E-05	2.05048	3.20E-05	-0.13815
3.40E-05	0.143681	3.40E-05	1.54447	3.40E-05	-0.183887
3.60E-05	0.150445	3.60E-05	1.01366	3.60E-05	-0.217707
3.80E-05	0.152056	3.80E-05	0.471572	3.80E-05	-0.246373
4.00E-05	0.149479	4.00E-05	-0.0663233	4.00E-05	-0.263122
4.20E-05	0.143359	4.20E-05	-0.580705	4.20E-05	-0.271818
4.40E-05	0.133696	4.40E-05	-1.04935	4.40E-05	-0.271174
4.60E-05	0.118236	4.60E-05	-1.46356	4.60E-05	-0.263766
4.80E-05	0.0972998	4.80E-05	-1.81077	4.80E-05	-0.244118
5.00E-05	0.0760417	5.00E-05	-2.08358	5.00E-05	-0.219639
5.20E-05	0.0576824	5.20E-05	-2.28264	5.20E-05	-0.194516
5.40E-05	0.0341696	5.40E-05	-2.39794	5.40E-05	-0.160374
5.60E-05	0.0109789	5.60E-05	-2.44046	5.60E-05	-0.123012
5.80E-05	-0.00995709	5.80E-05	-2.39794	5.80E-05	-0.0814617
6.00E-05	-0.0318594	6.00E-05	-2.28972	6.00E-05	-0.0440989
6.20E-05	-0.0495745	6.20E-05	-2.11257	6.20E-05	-0.00222687
6.40E-05	-0.0650349	6.40E-05	-1.87809	6.40E-05	0.0344917
6.60E-05	-0.079207	6.60E-05	-1.60174	6.60E-05	0.0670231
6.80E-05	-0.0901582	6.80E-05	-1.28383	6.80E-05	0.0995544
7.00E-05	-0.0962779	7.00E-05	-0.943702	7.00E-05	0.125322
7.20E-05	-0.0998209	7.20E-05	-0.58457	7.20E-05	0.14658
7.40E-05	-0.101431	7.40E-05	-0.22286	7.40E-05	0.164617
7.60E-05	-0.0994988	7.60E-05	0.132086	7.60E-05	0.174924
7.80E-05	-0.0943454	7.80E-05	0.467063	7.80E-05	0.178789
8.00E-05	-0.0872593	8.00E-05	0.770797	8.00E-05	0.177823
8.20E-05	-0.0785628	8.20E-05	1.03749	8.20E-05	0.168804
8.40E-05	-0.0640687	8.40E-05	1.25394	8.40E-05	0.155599
8.60E-05	-0.0521512	8.60E-05	1.42239	8.60E-05	0.14046
8.80E-05	-0.0344361	8.80E-05	1.53964	8.80E-05	0.117592
9.00E-05	-0.0176873	9.00E-05	1.59568	9.00E-05	0.0934347
9.20E-05	-0.00222687	9.20E-05	1.60116	9.20E-05	0.0670231
9.40E-05	0.0103347	9.40E-05	1.55574	9.40E-05	0.0396452
9.60E-05	0.0261173	9.60E-05	1.45621	9.60E-05	0.0100127
9.80E-05	0.0370684	9.80E-05	1.31642	9.80E-05	-0.0125338
1.00E-04	0.0489859	1.00E-04	1.13959	1.00E-04	-0.040878
0.000102	0.0557498	0.000102	0.933454	0.000102	-0.0624582
0.000104	0.0618696	0.000104	0.704123	0.000104	-0.0824279
0.000106	0.0663789	0.000106	0.462875	0.000106	-0.0985326
0.000108	0.0686335	0.000108	0.216474	0.000108	-0.11045
0.00011	0.0663789	0.00011	-0.0273501	0.00011	-0.118824
0.000112	0.0650905	0.000112	-0.261189	0.000112	-0.123012
0.000114	0.0551056	0.000114	-0.474092	0.000114	-0.12269
0.000116	0.0505963	0.000116	-0.663482	0.000116	-0.117858
0.000118	0.0415777	0.000118	-0.820985	0.000118	-0.109162
0.00012	0.035458	0.00012	-0.942736	0.00012	-0.0985326
0.000122	0.0219301	0.000122	-1.03034	0.000122	-0.0840384
0.000124	0.0103347	0.000124	-1.07576	0.000124	-0.0676117
0.000126	0.000994059	0.000126	-1.08607	0.000126	-0.0486082
0.000128	-0.009635	0.000128	-1.05643	0.000128	-0.0302489
0.00013	-0.0186536	0.00013	-0.990406	0.00013	-0.00931291
0.000132	-0.0289606	0.000132	-0.895711	0.000132	0.0100127
