TimeV_L	AmplitudeV_L	TimeV_C	AmplitudeV_C	TimeV_R	AmplitudeV_R								
0	4.54579	0	0.358517	0	0.0866707
2.00E-06	4.65659	2.00E-06	0.569488	2.00E-06	0.170093
4.00E-06	4.2443	4.00E-06	0.901889	4.00E-06	0.248361
6.00E-06	3.71863	6.00E-06	1.34284	6.00E-06	0.324697
8.00E-06	3.10632	8.00E-06	1.85851	8.00E-06	0.392015
1.00E-05	-2.11773	1.00E-05	2.11329	1.00E-05	0.375266
1.20E-05	-2.94775	1.20E-05	2.50915	1.20E-05	0.349821
1.40E-05	-3.29368	1.40E-05	2.84284	1.40E-05	0.316001
1.60E-05	-3.5214	1.60E-05	3.06927	1.60E-05	0.27896
1.80E-05	-3.63059	1.80E-05	3.18555	1.80E-05	0.223882
2.00E-05	-3.62769	2.00E-05	3.21905	2.00E-05	0.168482
2.20E-05	-3.51431	2.20E-05	3.12886	2.20E-05	0.113727
2.40E-05	-3.29368	2.40E-05	2.953	2.40E-05	0.0583266
2.60E-05	-2.98125	2.60E-05	2.69693	2.60E-05	-0.000616404
2.80E-05	-2.59635	2.80E-05	2.37548	2.80E-05	-0.0531175
3.00E-05	-2.14961	3.00E-05	1.98767	3.00E-05	-0.108195
3.20E-05	-1.65488	3.20E-05	1.56766	3.20E-05	-0.149745
3.40E-05	-1.12987	3.40E-05	1.10835	3.40E-05	-0.186786
3.60E-05	-0.5923	3.60E-05	0.62972	3.60E-05	-0.220284
3.80E-05	-0.051507	3.80E-05	0.149157	3.80E-05	-0.245407
4.00E-05	0.474149	4.00E-05	-0.321421	4.00E-05	-0.260867
4.20E-05	0.963087	4.20E-05	-0.762042	4.20E-05	-0.266665
4.40E-05	1.3992	4.40E-05	-1.15854	4.40E-05	-0.263444
4.60E-05	1.77573	4.60E-05	-1.49673	4.60E-05	-0.254747
4.80E-05	2.07882	4.80E-05	-1.77856	4.80E-05	-0.235744
5.00E-05	2.30172	5.00E-05	-1.98631	5.00E-05	-0.21513
5.20E-05	2.44601	5.20E-05	-2.13705	5.20E-05	-0.183887
5.40E-05	2.51108	5.40E-05	-2.20469	5.40E-05	-0.146846
5.60E-05	2.49594	5.60E-05	-2.215	5.60E-05	-0.111738
5.80E-05	2.39963	5.80E-05	-2.14349	5.80E-05	-0.0705105
6.00E-05	2.23408	6.00E-05	-2.00789	6.00E-05	-0.030571
6.20E-05	2.00539	6.20E-05	-1.8185	6.20E-05	0.00679173
6.40E-05	1.72291	6.40E-05	-1.58112	6.40E-05	0.0438324
6.60E-05	1.3992	6.60E-05	-1.30541	6.60E-05	0.0818393
6.80E-05	1.04683	6.80E-05	-1.00297	6.80E-05	0.111472
7.00E-05	0.677068	7.00E-05	-0.674433	7.00E-05	0.138206
7.20E-05	0.295065	7.20E-05	-0.337203	7.20E-05	0.157531
7.40E-05	-0.0808175	7.40E-05	-0.00190477	7.40E-05	0.173958
7.60E-05	-0.438984	7.60E-05	0.322443	7.60E-05	0.182976
7.80E-05	-0.771383	7.80E-05	0.623278	7.80E-05	0.185553
8.00E-05	-1.06642	8.00E-05	0.893515	8.00E-05	0.182654
8.20E-05	-1.31314	8.20E-05	1.11801	8.20E-05	0.173314
8.40E-05	-1.50575	8.40E-05	1.29452	8.40E-05	0.157853
8.60E-05	-1.64522	8.60E-05	1.42755	8.60E-05	0.141104
8.80E-05	-1.72574	8.80E-05	1.51161	8.80E-05	0.114371
9.00E-05	-1.74378	9.00E-05	1.53738	9.00E-05	0.0895696
9.20E-05	-1.70706	9.20E-05	1.52031	9.20E-05	0.0641242
9.40E-05	-1.61365	9.40E-05	1.45074	9.40E-05	0.0328812
9.60E-05	-1.47129	9.60E-05	1.32866	9.60E-05	0.000994059
9.80E-05	-1.28222	9.80E-05	1.17213	9.80E-05	-0.0263838
1.00E-04	-1.06191	1.00E-04	0.984667	1.00E-04	-0.0502187
0.000102	-0.81712	0.000102	0.770153	0.000102	-0.0753419
0.000104	-0.552361	0.000104	0.5405	0.000104	-0.0940233
0.000106	-0.279871	0.000106	0.300863	0.000106	-0.109806
0.000108	-0.00995709	0.000108	0.059937	0.000108	-0.123334
0.00011	0.250294	0.00011	-0.175513	0.00011	-0.130742
0.000112	0.496051	0.000112	-0.395824	0.000112	-0.133963
0.000114	0.713786	0.000114	-0.593588	0.000114	-0.131708
0.000116	0.897702	0.000116	-0.764941	0.000116	-0.126555
0.000118	1.04587	0.000118	-0.902475	0.000118	-0.114959
0.00012	1.15473	0.00012	-1.00039	0.00012	-0.102076
0.000122	1.21786	0.000122	-1.07544	0.000122	-0.0856489
0.000124	1.23558	0.000124	-1.09509	0.000124	-0.0672896
0.000126	1.21496	0.000126	-1.08478	0.000126	-0.0473198
0.000128	1.15055	0.000128	-1.03292	0.000128	-0.0244513
0.00013	1.04683	0.00013	-0.952721	0.00013	-0.00287105
0.000132	0.910908	0.000132	-0.836768	0.000132	0.0177429
0.000134	0.75276	0.000134	-0.701489	0.000134	0.0361022
0.000136	0.573676	0.000136	-0.545597	0.000136	0.0534952
0.000138	0.379131	0.000138	-0.376176	0.000138	0.0683114
0.00014	0.182976	0.00014	-0.20128	0.00014	0.0795847
0.000142	-0.0128559	0.000142	-0.0254175	0.000142	0.0898917
0.000144	-0.203857	0.000144	0.144325	0.000144	0.0937568
0.000146	-0.380363	0.000146	0.303761	0.000146	0.0960114
0.000148	-0.534968	0.000148	0.44516	0.000148	0.0950451
0.00015	-0.665415	0.00015	0.5682	0.00015	0.0882812
0.000152	-0.771383	0.000152	0.664184	0.000152	0.0811951
0.000154	-0.843532	0.000154	0.733434	0.000154	0.0712103
0.000156	-0.882505	0.000156	0.776595	0.000156	0.0583266
