Time	Noise
2.00E-06	5.0035
4.00E-06	5.00124
6.00E-06	4.99673
8.00E-06	4.99673
1.00E-05	5.00446
1.20E-05	5.00189
1.40E-05	5.00382
1.60E-05	5.00414
1.80E-05	5.00414
2.00E-05	5.00446
2.20E-05	5.00189
2.40E-05	5.00575
2.60E-05	5.00382
2.80E-05	5.00414
3.00E-05	5.00607
3.20E-05	5.0064
3.40E-05	5.00607
3.60E-05	5.00253
3.80E-05	5.0064
4.00E-05	5.00607
4.20E-05	5.00479
4.40E-05	5.00768
4.60E-05	5.00704
4.80E-05	5.00768
5.00E-05	5.00607
5.20E-05	5.00768
5.40E-05	5.01091
5.60E-05	5.0064
5.80E-05	5.00736
6.00E-05	5.0064
6.20E-05	5.00897
6.40E-05	5.00543
6.60E-05	5.00736
6.80E-05	5.00962
7.00E-05	5.00704
7.20E-05	5.00704
7.40E-05	5.01058
7.60E-05	5.01155
7.80E-05	5.00607
8.00E-05	5.00768
8.20E-05	5.00897
8.40E-05	5.00672
8.60E-05	5.00865
8.80E-05	5.00865
9.00E-05	5.00962
9.20E-05	5.00672
9.40E-05	5.0064
9.60E-05	5.00768
9.80E-05	5.00801
1.00E-04	5.00704
0.000102	5.00575
0.000104	5.01155
0.000106	5.00704
0.000108	5.00479
0.00011	5.00962
0.000112	5.00704
0.000114	5.00479
0.000116	5.00511
0.000118	5.00897
0.00012	5.00833
0.000122	5.00479
0.000124	5.00736
0.000126	5.00962
0.000128	5.00704
0.00013	5.00575
0.000132	5.00833
0.000134	5.00929
0.000136	5.00607
0.000138	5.00801
0.00014	5.00768
0.000142	5.00801
0.000144	5.00865
0.000146	5.00704
0.000148	5.00929
0.00015	5.00479
0.000152	5.0064
0.000154	5.01058
0.000156	5.00833
0.000158	5.00704
0.00016	5.00736
0.000162	5.01155
0.000164	5.00704
0.000166	5.00672
0.000168	5.01155
0.00017	5.00897
0.000172	5.00929
0.000174	5.00446
0.000176	5.01252
0.000178	5.00929
0.00018	5.00672
0.000182	5.00801
0.000184	5.00994
0.000186	5.00833
0.000188	5.00768
0.00019	5.00801
0.000192	5.00897
0.000194	5.0064
0.000196	5.00736
0.000198	5.00929
0.0002	5.01155
0.000202	5.0064
