TimeV_S	AmplitudeV_S	TimeV_C	AmplitudeV_C	TimeV_R	AmplitudeV_R

1.40E-05	-1.64683	1.40E-05	0.936997	1.40E-05	0.555316
1.60E-05	-1.72832	1.60E-05	1.06261	1.60E-05	0.513122
1.80E-05	-1.80047	1.80E-05	1.17599	1.80E-05	0.469639
2.00E-05	-1.84588	2.00E-05	1.26296	2.00E-05	0.422936
2.20E-05	-1.87551	2.20E-05	1.34702	2.20E-05	0.373333
2.40E-05	-1.88518	2.40E-05	1.4079	2.40E-05	0.323087
2.60E-05	-1.8913	2.60E-05	1.45106	2.60E-05	0.274773
2.80E-05	-1.87165	2.80E-05	1.48617	2.80E-05	0.227103
3.00E-05	-1.83557	3.00E-05	1.5129	3.00E-05	0.176213
3.20E-05	-1.79241	3.20E-05	1.51451	3.20E-05	0.127899
3.40E-05	-1.73154	3.40E-05	1.50646	3.40E-05	0.0818393
3.60E-05	-1.65649	3.60E-05	1.48907	3.60E-05	0.0344917
3.80E-05	-1.57275	3.80E-05	1.4604	3.80E-05	-0.00480361
4.00E-05	-1.48578	4.00E-05	1.41885	4.00E-05	-0.0498966
4.20E-05	-1.38336	4.20E-05	1.36216	4.20E-05	-0.089514
4.40E-05	-1.27675	4.40E-05	1.30418	4.40E-05	-0.120435
4.60E-05	-1.1653	4.60E-05	1.23655	4.60E-05	-0.154899
4.80E-05	-1.05096	4.80E-05	1.16665	4.80E-05	-0.187752
5.00E-05	-0.928242	5.00E-05	1.08258	5.00E-05	-0.216096
5.20E-05	-0.801982	5.20E-05	0.996907	5.20E-05	-0.239609
5.40E-05	-0.685063	5.40E-05	0.907043	5.40E-05	-0.2628
5.60E-05	-0.560413	5.60E-05	0.810736	5.60E-05	-0.279226
5.80E-05	-0.434475	5.80E-05	0.714753	5.80E-05	-0.293721
6.00E-05	-0.318522	6.00E-05	0.618769	6.00E-05	-0.303705
6.20E-05	-0.202891	6.20E-05	0.51892	6.20E-05	-0.312724
6.40E-05	-0.0911244	6.40E-05	0.419071	6.40E-05	-0.316911
6.60E-05	0.0209638	6.60E-05	0.321476	6.60E-05	-0.320454
6.80E-05	0.121135	6.80E-05	0.226137	6.80E-05	-0.321098
7.00E-05	0.214542	7.00E-05	0.133696	7.00E-05	-0.316267
7.20E-05	0.309881	7.20E-05	0.0444766	7.20E-05	-0.311758
7.40E-05	0.392659	7.40E-05	-0.0405559	7.40E-05	-0.303383
7.60E-05	0.464808	7.60E-05	-0.122045	7.60E-05	-0.293076
7.80E-05	0.53438	7.80E-05	-0.197415	7.80E-05	-0.281803
8.00E-05	0.597833	8.00E-05	-0.268919	8.00E-05	-0.267631
8.20E-05	0.650012	8.20E-05	-0.333016	8.20E-05	-0.251204
8.40E-05	0.690273	8.40E-05	-0.392925	8.40E-05	-0.2351
8.60E-05	0.72828	8.60E-05	-0.448325	8.60E-05	-0.217707
8.80E-05	0.76049	8.80E-05	-0.490519	8.80E-05	-0.198381
9.00E-05	0.775628	9.00E-05	-0.532391	9.00E-05	-0.178089
9.20E-05	0.78819	9.20E-05	-0.564922	9.20E-05	-0.157475
9.40E-05	0.79592	9.40E-05	-0.593266	9.40E-05	-0.136539
9.60E-05	0.797853	9.60E-05	-0.615169	9.60E-05	-0.115926
