TimeV_S	AmplitudeV_S	TimeV_C	AmplitudeV_C	TimeV_R	AmplitudeV_R
0	3.87614	0	0.310847	0	0.328563
2.00E-06	4.68558	2.00E-06	0.397168	2.00E-06	0.502493
4.00E-06	4.38957	4.00E-06	0.488643	4.00E-06	0.669337
6.00E-06	4.07713	6.00E-06	0.603952	6.00E-06	0.825231
8.00E-06	3.74794	8.00E-06	0.755014	8.00E-06	0.963409
1.00E-05	3.37688	1.00E-05	0.898346	1.00E-05	0.847777
1.20E-05	-1.73959	1.20E-05	0.748894	1.20E-05	0.787224
1.40E-05	-1.79402	1.40E-05	0.877732	1.40E-05	0.71894
1.60E-05	-1.84491	1.60E-05	0.985956	1.60E-05	0.651622
1.80E-05	-1.86617	1.80E-05	1.09096	1.80E-05	0.580439
2.00E-05	-1.87068	2.00E-05	1.17052	2.00E-05	0.510223
2.20E-05	-1.86714	2.20E-05	1.23944	2.20E-05	0.440329
2.40E-05	-1.84491	2.40E-05	1.29356	2.40E-05	0.370435
2.60E-05	-1.8082	2.60E-05	1.338	2.60E-05	0.300218
2.80E-05	-1.75505	2.80E-05	1.35991	2.80E-05	0.232257
3.00E-05	-1.69868	3.00E-05	1.37633	3.00E-05	0.16655
3.20E-05	-1.6275	3.20E-05	1.3773	3.20E-05	0.105674
3.40E-05	-1.5415	3.40E-05	1.3686	3.40E-05	0.0431882
3.60E-05	-1.45712	3.60E-05	1.34767	3.60E-05	-0.0102792
3.80E-05	-1.36146	3.80E-05	1.31481	3.80E-05	-0.0666454
4.00E-05	-1.26032	4.00E-05	1.27487	4.00E-05	-0.115926
4.20E-05	-1.14952	4.20E-05	1.22559	4.20E-05	-0.163595
4.40E-05	-1.04387	4.40E-05	1.17052	4.40E-05	-0.202891
4.60E-05	-0.932751	4.60E-05	1.10932	4.60E-05	-0.240253
4.80E-05	-0.816798	4.80E-05	1.04136	4.80E-05	-0.275039
5.00E-05	-0.705999	5.00E-05	0.966952	5.00E-05	-0.301129
5.20E-05	-0.596165	5.20E-05	0.894481	5.20E-05	-0.324319
5.40E-05	-0.485688	5.40E-05	0.81589	5.40E-05	-0.344933
5.60E-05	-0.374566	5.60E-05	0.732468	5.60E-05	-0.361682
5.80E-05	-0.272462	5.80E-05	0.650334	5.80E-05	-0.37521
6.00E-05	-0.174868	6.00E-05	0.566267	6.00E-05	-0.381008
6.20E-05	-0.0759861	6.20E-05	0.484778	6.20E-05	-0.386161
6.40E-05	0.0167766	6.40E-05	0.402644	6.40E-05	-0.388094
6.60E-05	0.0972998	6.60E-05	0.321476	6.60E-05	-0.383584
6.80E-05	0.174924	6.80E-05	0.243208	6.80E-05	-0.380363
7.00E-05	0.252549	7.00E-05	0.167194	7.00E-05	-0.370701
7.20E-05	0.319544	7.20E-05	0.0950451	7.20E-05	-0.360072
7.40E-05	0.374944	7.40E-05	0.0257952	7.40E-05	-0.346544
7.60E-05	0.430666	7.60E-05	-0.0383012	7.60E-05	-0.330439
7.80E-05	0.47898	7.80E-05	-0.0994988	7.80E-05	-0.314657
8.00E-05	0.514088	8.00E-05	-0.156831	8.00E-05	-0.295331
8.20E-05	0.545653	8.20E-05	-0.206756	8.20E-05	-0.274395
8.40E-05	0.574964	8.40E-05	-0.252815	8.40E-05	-0.254103
8.60E-05	0.596222	8.60E-05	-0.295331	8.60E-05	-0.231557
8.80E-05	0.604274	8.80E-05	-0.332372	8.80E-05	-0.208688
9.00E-05	0.613615	9.00E-05	-0.364903	9.00E-05	-0.185498
9.20E-05	0.616836	9.20E-05	-0.391315	9.20E-05	-0.161341
9.40E-05	0.612005	9.40E-05	-0.412251	9.40E-05	-0.138794
9.60E-05	0.602342	9.60E-05	-0.43061	9.60E-05	-0.11657
9.80E-05	0.588492	9.80E-05	-0.444138	9.80E-05	-0.0924128
1.00E-04	0.577219	1.00E-04	-0.450257	1.00E-04	-0.0698663
0.000102	0.551773	0.000102	-0.454123	0.000102	-0.0486082
0.000104	0.527616	0.000104	-0.455411	0.000104	-0.0286385
0.000106	0.501849	0.000106	-0.45058	0.000106	-0.00802454
0.000108	0.471572	0.000108	-0.442849	0.000108	0.00969056
0.00011	0.438396	0.00011	-0.43222	0.00011	0.0274057
0.000112	0.402966	0.000112	-0.419659	0.000112	0.0428661
0.000114	0.371079	0.000114	-0.401944	0.000114	0.0573603
0.000116	0.33275	0.000116	-0.382618	0.000116	0.0712103
