TimeV_S	AmplitudeV_S	TimeV_C	AmplitudeV_C	TimeV_R	AmplitudeV_R
0	4.53194	0	0.354974	0	0.0853824
2.00E-06	4.98997	2.00E-06	0.557249	2.00E-06	0.168804
4.00E-06	4.98739	4.00E-06	0.902533	4.00E-06	0.247073
6.00E-06	4.98739	6.00E-06	1.36087	6.00E-06	0.322765
8.00E-06	4.989	8.00E-06	1.91423	8.00E-06	0.393303
1.00E-05	0.450958	1.00E-05	2.18447	1.00E-05	0.376554
1.20E-05	-0.00448152	1.20E-05	2.64153	1.20E-05	0.353686
1.40E-05	-0.00158268	1.40E-05	3.01484	1.40E-05	0.324053
1.60E-05	-0.000294312	1.60E-05	3.27445	1.60E-05	0.283147
1.80E-05	-0.00158268	1.80E-05	3.43292	1.80E-05	0.232579
2.00E-05	0.000349874	2.00E-05	3.46997	2.00E-05	0.176857
2.20E-05	0.00260452	2.20E-05	3.39717	2.20E-05	0.122745
2.40E-05	0.00228243	2.40E-05	3.22904	2.40E-05	0.0650905
2.60E-05	0.00163824	2.60E-05	2.96202	2.60E-05	0.00550336
2.80E-05	0.0035708	2.80E-05	2.61576	2.80E-05	-0.0463536
3.00E-05	0.00550336	3.00E-05	2.2067	3.00E-05	-0.102398
3.20E-05	0.0035708	3.20E-05	1.74449	3.20E-05	-0.149745
3.40E-05	0.00292662	3.40E-05	1.24653	3.40E-05	-0.190007
3.60E-05	0.00582545	3.60E-05	0.727314	3.60E-05	-0.226081
3.80E-05	0.00518126	3.80E-05	0.198759	3.80E-05	-0.251849
4.00E-05	0.00324871	4.00E-05	-0.321098	4.00E-05	-0.269564
4.20E-05	0.0035708	4.20E-05	-0.812289	4.20E-05	-0.27826
4.40E-05	0.00389289	4.40E-05	-1.25967	4.40E-05	-0.275683
4.60E-05	0.00131615	4.60E-05	-1.6449	4.60E-05	-0.266343
4.80E-05	0.000671966	4.80E-05	-1.96087	4.80E-05	-0.249916
5.00E-05	0.000994059	5.00E-05	-2.21564	5.00E-05	-0.22286
5.20E-05	0.00163824	5.20E-05	-2.37926	5.20E-05	-0.192261
5.40E-05	-0.000938497	5.40E-05	-2.4688	5.40E-05	-0.160696
5.60E-05	-0.00158268	5.60E-05	-2.47879	5.60E-05	-0.118502
5.80E-05	-0.000616404	5.80E-05	-2.40986	5.80E-05	-0.0734093
6.00E-05	-0.00190477	6.00E-05	-2.26911	6.00E-05	-0.0357245
6.20E-05	-0.00351524	6.20E-05	-2.06104	6.20E-05	0.00711382
6.40E-05	-0.00351524	6.40E-05	-1.79499	6.40E-05	0.0483417
6.60E-05	-0.00222687	6.60E-05	-1.48514	6.60E-05	0.0857044
6.80E-05	-0.00383733	6.80E-05	-1.14082	6.80E-05	0.119202
7.00E-05	-0.00383733	7.00E-05	-0.772027	7.00E-05	0.144647
7.20E-05	-0.00222687	7.20E-05	-0.39067	7.20E-05	0.170415
7.40E-05	-0.00319315	7.40E-05	-0.00834663	7.40E-05	0.185231
7.60E-05	-0.00351524	7.60E-05	0.362704	7.60E-05	0.19586
7.80E-05	-0.00448152	7.80E-05	0.708633	7.80E-05	0.199403
8.00E-05	-0.000938497	8.00E-05	1.01849	8.00E-05	0.196826
8.20E-05	-0.00158268	8.20E-05	1.28422	8.20E-05	0.185875
8.40E-05	-0.00254896	8.40E-05	1.49583	8.40E-05	0.170737
8.60E-05	-0.000294312	8.60E-05	1.65205	8.60E-05	0.151089
8.80E-05	0.000349874	8.80E-05	1.75029	8.80E-05	0.125322
9.00E-05	0.000349874	9.00E-05	1.78862	9.00E-05	0.100521
9.20E-05	-0.000616404	9.20E-05	1.76704	9.20E-05	0.0647684
9.40E-05	0.00196034	9.40E-05	1.68909	9.40E-05	0.0335254
9.60E-05	0.00228243	9.60E-05	1.55316	9.60E-05	0.00324871
9.80E-05	2.78E-05	9.80E-05	1.37118	9.80E-05	-0.0273501
1.00E-04	0.00228243	1.00E-04	1.15506	1.00E-04	-0.0550501
0.000102	0.00324871	0.000102	0.905754	0.000102	-0.0814617
0.000104	0.00292662	0.000104	0.637128	0.000104	-0.104974
0.000106	0.000349874	0.000106	0.356585	0.000106	-0.123334
0.000108	0.00196034	0.000108	0.0721766	0.000108	-0.136217
0.00011	0.00292662	0.00011	-0.205789	0.00011	-0.144592
0.000112	0.000349874	0.000112	-0.466362	0.000112	-0.148457
0.000114	0.000349874	0.000114	-0.702778	0.000114	-0.146202
